stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
VEAUDORE,93934,"VEAU DORÉ",,47.476012,-0.413596,,,0,,,0
VEILLE-E,184735,"VEILLEROT",,47.521304,-0.472268,,,0,,,0
VEILLERO,203459,"VEILLEROT",,47.521301,-0.472486,,,0,,,0
VENAIS-E,6725,"VENAISERIE",,47.470825,-0.489667,,,0,,,1
VENAISER,5844,"VENAISERIE",,47.471029,-0.489628,,,0,,,1
VENSCO,863100,"VENAISERIE COLLEGE",,47.471673,-0.486287,,,0,,,0
VENSCO-E,274484,"VENAISERIE COLLEGE",,47.471665,-0.486292,,,0,,,0
VERDUN,31885,"SAINT BARTHELEMY VERDUN",,47.468191,-0.493242,,,0,,,1
VERDUN-E,32668,"SAINT BARTHELEMY VERDUN",,47.468482,-0.492796,,,0,,,1
VERIGNE,12319,"VERIGNE",,47.588269,-0.493678,,,0,,,0
VERIGN-E,24724,"VERIGNE",,47.588212,-0.493507,,,0,,,0
VERN-ARA,62000,"AURIOL",,47.491128,-0.565086,,,0,,,1
VERNEA-E,24578,"AURIOL",,47.491289,-0.564935,,,0,,,1
VERNEREN,32066,"VERNEAU AQUAVITA (08)",,47.493095,-0.568663,,,0,,,1
VERNRE-E,23598,"VERNEAU AQUAVITA (08)",,47.493095,-0.568663,,,0,,,1
VERNUIT,2307,"AQUAVITA",,47.493361,-0.565539,,,0,,,0
VERNUS-E,460891,"VERNUSSON FLORILOIRE",,47.430456,-0.542212,,,0,,,1
VERNUSSO,32414,"VERNUSSON FLORILOIRE",,47.430422,-0.542204,,,0,,,1
VERTRA-E,7353,"VERNEAU",,47.492594,-0.567167,,,0,,,1
VHUGO,15227,"VICTOR HUGO MONTREUIL",,47.528222,-0.611817,,,0,,,0
VHUGO-E,7391,"VICTOR HUGO MONTREUIL",,47.528209,-0.611667,,,0,,,0
VHUGOMJ,10228,"VICTOR HUGO MONTREUIL",,47.528177,-0.611918,,,0,,,0
VICT-D,98126,"VICTOR HUGO",,47.523490,-0.467469,,,0,,,1
VICT-D-E,415331,"VICTOR HUGO",,47.523543,-0.467406,,,0,,,1
VICTHU-E,7901,"VICTOR HUGO",,47.522093,-0.469566,,,0,,,0
VICTHUGO,7019,"VICTOR HUGO",,47.522155,-0.469641,,,0,,,0
VIELLMAI,21047,"VIEILLE MAINE",,47.529842,-0.527821,,,0,,,0
VIELMA-E,22163,"VIEILLE MAINE",,47.529978,-0.527770,,,0,,,0
VIEUXP-E,658385,"VIEUX PORT",,47.570230,-0.495249,,,0,,,0
VIEUXPOR,876933,"VIEUX PORT",,47.570296,-0.495410,,,0,,,0
VIGNES,18380,"LES VIGNES",,47.408901,-0.626354,,,0,,,1
VIGNES-E,19033,"LES VIGNES",,47.408537,-0.626331,,,0,,,1
VILBRG-E,645260,"BEAUREGARD",,47.533845,-0.434720,,,0,,,0
VILLEC-E,8804,"VILLECHIEN",,47.463242,-0.519524,,,0,,,1
VILLECHI,12145,"VILLECHIEN",,47.462630,-0.519742,,,0,,,1
VILLEN-E,12314,"VILLENEUVE",,47.508319,-0.434702,,,0,,,0
VILLENEU,25376,"VILLENEUVE",,47.508334,-0.435058,,,0,,,0
VILLES-E,26023,"VILLESICARD",,47.452417,-0.538389,,,0,,,0
VILLESIC,8016,"VILLESICARD",,47.452474,-0.538335,,,0,,,0
VILSAN-E,309,"VILLAGE SANTE",,47.457155,-0.512175,,,0,,,1
VILSANTE,17408,"VILLAGE SANTE",,47.457561,-0.512721,,,0,,,1
VILVEC-E,16488,"ECOLE DE VILLEVEQUE",,47.560886,-0.421428,,,0,,,0
VILVECOL,28122,"ECOLE DE VILLEVEQUE",,47.560853,-0.421632,,,0,,,0
VILVEQ-E,14981,"MAIRIE DE VILLEVEQUE",,47.559368,-0.422071,,,0,,,0
VILVEQUE,4402,"MAIRIE DE VILLEVEQUE",,47.559473,-0.422195,,,0,,,0
VIRELE-E,976747,"VIRELET",,47.478638,-0.340190,,,0,,,0
VIRELET,259631,"VIRELET",,47.478741,-0.340244,,,0,,,0
VIVIER-E,27166,"VIVIERS",,47.451540,-0.535168,,,0,,,1
VIVIERS,29924,"VIVIERS",,47.451693,-0.535200,,,0,,,1
VOISINAY,896110,"VOISINAY",,47.418918,-0.345394,,,0,,,0
VOLNEY,25948,"VOLNEY",,47.460438,-0.538013,,,0,,,1
VOLNEY-E,29618,"VOLNEY",,47.460567,-0.538639,,,0,,,1
VOLTAI-E,11140,"VOLTAIRE",,47.484519,-0.531053,,,0,,,0
VOLTAIR,10823,"VOLTAIRE",,47.484872,-0.531345,,,0,,,0
WALCOU-E,20782,"WALCOURT",,47.463395,-0.486229,,,0,,,1
WALCOURT,20031,"WALCOURT",,47.463316,-0.485967,,,0,,,1
WBAMA,1851,"BAMAKO",,47.452456,-0.555780,,,0,,,0
WBAM-E,40910,"BAMAKO",,47.452427,-0.556057,,,0,,,0
WBASC,28556,"BASCULE",,47.508756,-0.591774,,,0,,,0
WBAS-E,79692,"BASCULE",,47.508657,-0.591296,,,0,,,0
WBRO-E,13554,"BOIS DU ROY",,47.499605,-0.582877,,,0,,,0
WBROY,9573,"BOIS DU ROY",,47.499761,-0.583414,,,0,,,0
WHSA-E,74471,"HAUTS DE SAINT AUBIN",,47.492331,-0.560591,,,0,,,0
WHSAU,33727,"HAUTS DE SAINT AUBIN",,47.492062,-0.560281,,,0,,,0
WIGAN,15554,"WIGAN",,47.459381,-0.608138,,,0,,,1
WIGAN-E,16501,"WIGAN",,47.459477,-0.608128,,,0,,,1
WJ23-E,13172,"JEAN XXIII",,47.448547,-0.563251,,,0,,,0
WJE23,7983,"JEAN XXIII",,47.448658,-0.562934,,,0,,,0
WJMO-E,72745,"JEAN MOULIN",,47.490708,-0.551835,,,0,,,0
WJMOU,26583,"JEAN MOULIN",,47.490693,-0.552212,,,0,,,0
WJVI-E,88442,"JEAN VILAR",,47.444519,-0.562594,,,0,,,0
WJVIL,37737,"JEAN VILAR",,47.445044,-0.562128,,,0,,,0
WPMA-E,53276,"PLATEAU DE MAYENNE",,47.496335,-0.579263,,,0,,,0
WPMAY,77362,"PLATEAU DE MAYENNE",,47.495882,-0.580358,,,0,,,0
WSTG-E,45847,"SAINT GILLES",,47.506763,-0.589564,,,0,,,0
WSTGI,59183,"SAINT GILLES",,47.506305,-0.589298,,,0,,,0
WTBO-E,30166,"TERRA BOTANICA",,47.494206,-0.575096,,,0,,,1
WTBOT,45969,"TERRA BOTANICA",,47.494083,-0.574716,,,0,,,1
WVERN,27317,"VERNEAU",,47.492391,-0.567528,,,0,,,1
ZABRUNEL,1456,"ZA BRUNELLERIES",,47.439073,-0.620181,,,0,,,1
ZARTISAN,20846,"ZA FENEU DEPART",,47.579282,-0.591373,,,0,,,0
ZARTIS-E,14755,"ZONE ARTISANALE",,47.579628,-0.591927,,,0,,,0
ZIBEAUC,23205,"ZI BEAUCOUZE",,47.460025,-0.619339,,,0,,,0
ZIBEAU-E,19670,"ZI BEAUCOUZE",,47.459969,-0.619290,,,0,,,0
ZICOPE-E,704348,"COPERNIC",,47.516842,-0.610432,,,0,,,1
ZICOPER,389482,"COPERNIC",,47.516842,-0.610432,,,0,,,0
ZPOL49,91599,"POLE 49",,47.489000,-0.491226,,,0,,,1
